interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
2266,1539,"in a certain city , 60 percent of the registered voters are democrats and the rest are republicans . in a mayoral race , if 75 percent of the registered voters who are democrats and 25 percent of the registered voters who are republicans are expected to vote for candidate a , what percent of the registered voters are expected to vote for candidate a ?",gain,4,assume there are $X$ voters a bo $x \rightarrow$ democrats $0.40 X \rightarrow$ republicans $\frac{0.6 \times 0.075+0.4 \times 0.25}{x}$ $=55 \%$,Ratio Calculation,No,1
2267,10149,"a and b are two multiples of 14 , and q is the set of consecutive integers between a and b , inclusive . if q contains 9 multiples of 14 , how many multiples of 7 are there in q ?",physics,4,"(14) $28,42,56,70,84,98,112$, $$ 126,140,(154) $$ $a=14 \quad b=154$ multiples of $7=9 \times 2+1=19$",Basic Math Operations,No,0
2268,9706,"having received his weekly allowance , a student spent 3 / 5 of his allowance at the arcade . the next day he spent one third of his remaining allowance at the toy store , and then spent his last $ 0.40 at the candy store . what is this student  s weekly allowance ?",general,4,assume he has $x$ dollars a week $$ \begin{aligned} & x \times\left(1-\frac{3}{5}\right) \times\left(1-\frac{1}{3}\right)=0.4 \\ & \begin{aligned} x & =0.4 \times \frac{5}{2} \times \frac{3}{2} \\ & =1.5 \text { (dollars) } \end{aligned} \end{aligned} $$,Expression and Operations with Symbols,No,1
2269,10705,"the manager of a produce market purchased a quantity of tomatoes for $ 0.80 per pound . due to improper handling , 15 percent of the tomatoes , by weight , were ruined and discarded . at what price per pound should the manager sell the remaining tomatoes if she wishes to make a profit on the sale of the tomatoes equal to 8 percent of the cost of the tomatoes .",gain,4,new cost of every tomatoes $$ \begin{aligned} & =\frac{0.8}{(1-15 \%)}=\frac{0.8}{0.85}=\frac{16}{17} \\ & \frac{16}{17} \times(1+8 \%) \\ & =\frac{16}{17} \times \frac{108}{100}  \\ & =\frac{402}{425}=0.95 \text { (dollars) } \end{aligned} $$,Profit,No,0
2270,1731,"if x / y = 7 / 4 , then ( x + y ) / ( x - y ) = ?",general,4,\begin{aligned} & \frac{x}{y}=\frac{7}{4} \\ & 4 x=7 y \\ & y=\frac{4}{2} x \\ & \frac{(x+y)}{(x-y)} \\ & =\frac{\frac{11}{7} x}{\frac{3}{7} x} \\ & =\frac{11}{3} x \end{aligned},Expression and Operations with Symbols,No,1
2271,10789,"a particular library has 150 books in a special collection , all of which were in the library at the beginning of the month . these book are occasionally loaned out through an inter - library program . if , by the end of the month , 65 percent of books that were loaned out are returned and there are 122 books in the special collection at that time , how many books of the special collection were loaned out during that month ?",gain,4,assume X collection were loaned out during the ninth $$ \begin{aligned} & \frac{x+(100+22)}{x}=65 \% \\ & x-29=0.65 x \\ & 0.35 x=28 \\ & x=28 \times \frac{20}{1} \\ & =80 \text { (books) } \end{aligned} $$,Ratio Calculation,No,1
2272,1894,"one night a certain hotel rented 3 / 5 of its rooms , including 2 / 3 of their air conditioned rooms . if 3 / 5 of its rooms were air conditioned , what percent of the rooms that were not rented were air conditioned ?",gain,4,"\left\ \text { rented } \frac{3}{5}-\text { air } x \text {no air } (1-x)\\ \text { not rented } \frac{2}{5}-\text { air } y \text { no air }  (1-y)\\ \frac{\frac{3}{5} \times x}{\frac{3}{5} x+\frac{2}{5} y}=\frac{2}{3} \\ \frac{3}{5} x+\frac{2}{5} y=\frac{3}{5} \\ \left\{\begin{array}{l} \frac{9}{5} x=\frac{6}{5} x+\frac{4}{5} y \\ 3 x+2 y=3 \end{array}\right. \\ 3x=4 y \\ 6y=3 , y=\frac{1}{2}=50 \% \right.",Ratio Calculation,No,1
2273,10409,36 men can complete a piece of work in 18 days . in how many days will 108 men complete the same work ?,physics,4,$\frac{1}{36 \times 18}=\frac{1}{648} \rightarrow$ the work speed per perso per day $$ \begin{aligned} & \frac{1}{\frac{1}{684} \times 108} \\ & =\frac{19}{3} \text { (days) } \end{aligned} $$,Workload-Time-Speed,No,0
2274,9520,"there are 193 items that are members of set u . of these items , 49 are members of set b , 59 are not members of either of set a or set b , and 25 are members of both sets a and b . how many of the members of set u are members of set a ?",other,4,\begin{aligned} & a \wedge b=25 \\ & b \text { only }=49-25=24 \\ & 1-(a \vee b)=59 \\ & \text { a only }=193-\mu-a \wedge b-b \text { only } \\ & =193-59-25-24 \\ & =85 \text { (members) } \\ & \end{aligned},Inclusion-Exclusion Principle,No,0
2275,1937,"in what time will a train 110 m long cross an electric pole , it its speed be 128 km / hr ?",physics,4,"\begin{aligned} & 128 \mathrm{~km} / \mathrm{hr}_r=\frac{128}{3.6} \mathrm{~m} / \mathrm{s} \\ & 110 / \frac{128}{3.6} \\ & =11 p \times \frac{3.6}{128+4432}+8 \\ & =\frac{99}{32} \\ & \equiv 3,09(3) \end{aligned}",Distance-Time-Speed && Unit Conversion,No,1
2276,1741,"a sum of rs . 100 is lent at simple interest of 3 % p . a . for the first month , 9 % p . a . for the second month , 27 % p . a . for the third month and so on . what is the total amount of interest earned at the end of the year approximately",general,4,"\begin{aligned} & \left.100 \times\left(1+\frac{3 \%}{12}\right)+100 \times \left(1+\frac{9 \%}{12}\right) \\ & +\cdots 100 \times\left(1+\frac{(3 \%)^{12}}{12}\right) \\ & a_1=100 \times\left(1+\frac{3 \%}{12}\right), n=12, \\ & a_{12}=100 \times\left(1+\frac{(3 \%)^{12}}{12}\right) \\ & r=3 \end{aligned}",Simple Interest && Geometric Sequence/Series,Simple Interest && Geometric Sequence/Series,0
2277,1658,harkamal purchased 8 kg of grapes at the rate of 90 per kg and 9 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?,gain,4,\begin{aligned} & 90 \times 8+55 \times 9 \\ = & 120+495 \\ = & 1215 \end{aligned},Basic Math Operations,No,1
2278,1684,gary drove from point a to point b at 60 km / h . on his way back he took a train travelling at 110 km / h and therefore his trip back lasted 5 hours less . what is the distance ( in km ) between a and b ?,physics,4,assume the distance $X \mathrm{~km}$ $$ \begin{aligned} & \frac{x}{60}-5=\frac{x}{110} \\ & 11 x-3300=6 x \\ & 5 x=3300 \\ & x=660(\mathrm{~km}) \end{aligned} $$,Distance-Time-Speed,No,1
2279,1913,"jamshid can paint a fence in 50 percent less time than taimour can when each works alone . when they work together , they can paint the fence in 4 hours . how long would it take taimour to paint the fence alone ?",physics,4,assume the work speed of Jamshid X per day then of Timour $\frac{x}{2}$ per day $$ \begin{aligned} & \frac{1}{x+\frac{x}{2}}=4 \\ & 1=4 x \frac{3}{2} x \\ & x=\frac{1}{6} \\ & \text { Tainour's speed }=\frac{1}{12} \\ & \frac{1}{\frac{1}{12}}=12 \text { (days) } \end{aligned} $$,Workload-Time-Speed,No,1
2280,10974,"in a group of ducks and cows , the total number of legs are 34 more than twice the no . of heads . find the total no . of buffaloes .",general,4,"assume the number of cows $x$, ducks $y$ $$ \begin{aligned} & (4 x+2 y)=2(x+y)+34 \\ & 4 x+2 y=2 x+2 y+34 \\ & 2 x=34 \\ & x=1 \end{aligned} $$",Expression and Operations with Symbols,No,1
2281,11763,a and b together can do a piece of work in 10 days . b alone can finish it in 20 days . in how many days can a alone finish the work ?,physics,4,"the speed of $b=\frac{1}{20}$, assume speed of $a=X$ $$ \begin{aligned} & \frac{1}{x+\frac{1}{20}}=10 \\ & 10 x=\frac{1}{2} \\ & x=\frac{1}{20} \\ & \frac{1}{\frac{1}{20}}=20 \text { (days) } \end{aligned} $$",Workload-Time-Speed,No,1
2282,1768,a van takes 6 hours to cover a distance of 540 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?,physics,4,Van's speed $\frac{540}{b}=90 \mathrm{~km} / \mathrm{hr}$ time: $6 h r \times \frac{3}{2}=9 h r$ $$ \frac{540}{9}=60(\mathrm{~km} / \mathrm{hr}) $$,Distance-Time-Speed,No,1
2283,11967,the cost of painting the whole surface area of a cube at the rate of 13 paise per sq . cm is rs . 343.98 . then the volume of the cube is,geometry,4,$$ \frac{34398}{13}=2646\left(\mathrm{~m}^2\right) $$ there are 6 square of a cuber $$ \begin{aligned} & \frac{2646}{6}=441 \mathrm{~cm}^2 \text { per square } \\ & x^2=441 \end{aligned} $$ one side of the cube $=21 \mathrm{~cm}$ $$ y^2=9261\left(\mathrm{~cm}^3\right) $$,Area Calculation && Volume Calculation && Unit Conversion,No,1
2284,11635,"if leo gains 10 pounds , he will weigh 50 % more than his sister kendra . currently their combined weight is 140 pounds . what is leo ' s current weight ?",gain,4,"assume Leos current weight $X$ pounds, sister y pounds $$ \begin{aligned} & (x+\infty)=1.5 y \\ & x+y=140 \\ & 2.5 y=150 \\ & y=60 \\ & x=80 \text { (pounds) } \end{aligned} $$",Expression and Operations with Symbols,No,1
2285,9812,a number consists of 3 digit whose sum is 10 . the middle digit is equal to the sum of the other two and the number will be increased by 99 if its digits are reversed . the number is :,general,4,"assume the number $=x y z$ $$ \begin{aligned} & \left\{\begin{array}{l} x+y+z=10 \\ y=x+z \\ 100 x+10 y+z+99=100 z+10 y+x \end{array}\right. \\ & \left\{\begin{array}{l} x+y+z=10 \\ x-y+z=0 \\ 99 x-99 z=-99 \end{array}\right. \\ & \left\{\begin{array}{l} x+z=5 \\ x-z=-1 \end{array}\right. \\ & 2 x=4 \\ & x=2, y=5, z=3 \quad \text { Ans } 253 \\ & \end{aligned} $$",Expression and Operations with Symbols,No,1
2286,10575,"brenda and sally run in opposite direction on a circular track , starting at diametrically opposite points . they first meet after brenda has run 100 meters . they next meet after sally has run 200 meters past their first meeting point . each girl runs at a constant speed . what is the length of the track in meters ?",physics,4,"when Sally runs $100 \mathrm{~m}$, Brenda can runs $200 \mathrm{~m}$ $$ \begin{aligned} & 100+200 \\ & =300(\mathrm{~m}) \end{aligned} $$",Distance-Time-Speed,No,0
2287,1450,find the number of different prime factors of 25650,other,4,$$ 25650=2 \times 3^3 \times 5^2 \times 19 $$ only one prime factors $=19$,Prime Factorization,Prime Factorization,0
2288,9653,"a starts business with rs . 3500 and after 6 months , b joins with a as his partner . after a year , the profit is divided in the ratio 2 : 3 . what is b 璽   s contribution in the capital ?",other,4,"$$ a: b=2: 3=3500: 5250 $$ becauser b's contribution is $\frac{1}{2}$ of $a$, $$ \begin{aligned} \text { So b's contribution of capital } & =5250 \times 2 \\ & =10500(15 .) \end{aligned} $$",Ratio Calculation,No,1
2289,1745,"a man bought 10 crates of mangoes for $ 40 total . if he lost 2 of the crates , at what price would he have to sell each of the remaining crates in order to earn a total profit of 20 percent of the total cost ?",gain,4,8 boxes for 40 dollars 5 dollars a box $$ \begin{aligned} & 5 \times 20 \%=1 \\ & 5+1=6 \text { (dollars) } \end{aligned} $$,Profit,No,1
2290,1566,"if 50 % of x is 25 less than 25 % of 2500 , then x is ?",general,4,\begin{aligned} & x \times 50 \%=25-2500 \times 25 \% \\ & 0.5 x=25-625 \\ & x=-1200 \end{aligned},Expression and Operations with Symbols,No,1
2291,11371,the average weight of 8 persons increases by 3 kg when a new person comes in place of one of them weighing 65 kg . what might be the weight of the new person ?,general,4,assume the weight of the new person X kg original average weigh y $\mathrm{kg}$ $$ \begin{aligned} & y+3=\frac{8 y-65+x}{8} \\ & 8 y+3=8 y-65+x \\ & x=68(\mathrm{~kg}) \end{aligned} $$,Arithmetic Mean,No,0
2292,10850,"if 15 people contributed a total of $ 30.00 toward a gift and each of them contributed at least $ 1.00 , then the maximum possible amount any one person could have contributed is",general,4,"assume 14 people donate $\$ 1$, then the $15^{\text {th }}$ people donate Max $$ \begin{aligned} & =30-14 \times 1 \\ & =16 \text { (dollars) } \end{aligned} $$",Basic Math Operations,No,1
2293,11317,"calculate the time it will take for a train that is 120 meter long to pass a bridge of 160 meter length , if the speed of the train is 40 km / hour ?",physics,4,\begin{aligned} & 120+160=28 \times \mathrm{m} \\ & 40 \mathrm{~km} / \mathrm{hr}=\frac{40}{3.6} \mathrm{~m} / \mathrm{s} \\ & +80 / \frac{40}{3.6} \\ & =180 \times \frac{3.6}{40} \\ & =25.2(\mathrm{~s}) \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2294,12008,"a man can do a piece of work in 5 days , but with the help of his son he can do it in 3 days . in what time can the son do it alone ?",physics,4,the speed of him $=\frac{1}{5}$ per day assume the work speed of hi's son $X$ $$ \begin{aligned} & \frac{1}{\frac{1}{5}+x}=3 \\ & 3 x=\frac{2}{5} \\ & x=\frac{2}{15} \\ & \frac{1}{\frac{2}{15}}=1.5 \text { (days) } x \end{aligned} $$,Workload-Time-Speed,No,1
2295,1509,"rakesh ' s mathematics test had 75 problems , 10 arithmetic , 30 algebra , 35 geometry problems . although he answered 70 % of arithmetic , 40 % of arithmetic and 60 % of geometry problems correctly , still he got less than 60 % problems right . how many more questions he would have to answer more to get passed ?",general,4,$$ \begin{aligned} & 10 \times 70 \%+30 \times 40 \%+35 \times 60 \% \\ & =1+12+21 \\ & =40 \end{aligned} $$ assume he need to answer $X$ questions $$ \begin{aligned} & \frac{40+x}{15}=60 \% \\ & x=5 \end{aligned} $$,Ratio Calculation,No,1
2296,1782,a 6 litre sol is 20 % alcohol . how many litres of pure alcohol must be added to produce a sol that is 50 % alcohol ?,gain,4,6 lit $\times 20 \%=1.2$ alcohol assume $x$ lit alcohol is added $$ \begin{aligned} & \frac{1-2+x}{6+x}=50 \% \\ & 3+0.5 x=1.2+x \\ & 0.5 x=1.8 \\ & x=3.6 \text { (litres) } \end{aligned} $$,Mixed Solution Concentration,No,1
2297,1899,we had $ 1400 left after spending 30 % of the money that we took for shopping . how much money did we start with ?,gain,4,assume we start with \$x $$ \begin{aligned} & x \times(1-30 \%)=1400 \\ & x=1400 \times \frac{10}{7} \end{aligned} $$ $$ =2000 \text { (dollars) } $$,Ratio Calculation,No,1
2298,1925,"3 years ago , the average age of a , b and c was 27 years and that of b and c 5 years ago was 20 years . a  s present age is :",general,4,"assume $a, b, c$ are $a, b, c$ years old currently $$ \begin{aligned} & \left\{\begin{array}{l} \frac{(a-3)+(b-3)+(c-3)}{3}=27 \\ \frac{(b-5)+(c-5)}{2}=20 \end{array}\right. \\ & \left\{\begin{array}{l} a+b+c=90 \\ b+c=50 \end{array}\right. \\ & a=90-50=40 \text { (years old) } \end{aligned} $$",Arithmetic Mean,No,1
2299,12100,a pupil ' s marks were wrongly entered as 83 instead of 63 . due to that the average marks for the class got increased by half ( 1 / 2 ) . the number of pupils in the class is :,general,4,"assume there are $X$ pupils in the class, and the original average $y$ $$ \begin{aligned} & \frac{x \times y+20}{x}=(1+50 \%) y \\ & x y+20=1.5 x y \\ & 0.5 x y=20 \\ & x y=40 \end{aligned} $$",Arithmetic Mean && Ratio Calculation,Ratio Calculation,0
2300,11496,"if y > 0 , ( 2 y ) / 5 + ( 3 y ) / 10 is what percent of y ?",general,4,\begin{aligned} & \left(\frac{2 y}{5}+\frac{3 y}{10}\right) / y \\ & =\frac{2}{5}+\frac{3}{10} \\ & =\frac{7}{10}=70 \% \end{aligned},Basic Math Operations,No,1
2301,10329,"mary and mike enter into a partnership by investing $ 800 and $ 200 respectively . at the end of one year , they divided their profits such that a third of the profit is divided equally for the efforts they have put into the business and the remaining amount of profit is divided in the ratio of the investments they made in the business . if mary received $ 1200 more than mike did , what was the profit made by their business in that year ?",general,4,assume the profit e of the year $x$ $$ \begin{aligned} & \text { Mary and Mike's initial investment }=800: 200 \\ & =4:1 \\ & \text { Mary: } \frac{1}{3} x \times \frac{1}{2}+\frac{2}{3} x \times \frac{4}{5} \\ & \text { Mike }=\frac{1}{3} x \times \frac{1}{2}+\frac{2}{3} x \times \frac{1}{5} \\ & \Rightarrow\left(\frac{1}{6} x+\frac{8}{15} x\right)-\left(\frac{1}{6} x+\frac{2}{15} x\right)=1200 \\ & \frac{10}{15} x=1200 \\ & x=120 \times 15=1800 \text { (dollars) } \end{aligned} $$,Ratio Calculation,No,0
2302,1834,"in a weight - lifting competition , the total weight of joe ' s two lifts was 450 pounds . if twice the weight of his first lift was 300 pounds more than the weight of his second lift , what was the weight , in pounds , of his first lift ?",general,4,"assume the first time's weight $x$ pounds, second tilues weight y pounds $$ \begin{aligned} & \left\{\begin{array}{l} 2 x=y+300 \\ x+y=450 \end{array}\right. \\ & \left\{\begin{array}{l} 2 x-y=300 \\ x+y=450 \end{array}\right. \\ & 3 x=750 \\ & x=250 \text { (pounds) } \end{aligned} $$",Expression and Operations with Symbols,No,1
2303,11001,"a rectangular farm has to be fenced one long side , one short side and the diagonal . if the cost of fencing is rs . 11 per meter . the area of farm is 1200 m 2 and the short side is 30 m long . how much would the job cost ?",geometry,4,\begin{aligned} & \text { the long side }=\frac{1200}{30}=40 \mathrm{~m} \\ & \text { diagonal }=\sqrt{30^2+40^2}=50 \\ & (30+40+50) \times 11 \\ & =1320(\mathrm{rs.}) \end{aligned},Area Calculation && Perimeter Calculation && Pythagorean Theorem,No,1
